iter	Passed	Remaining
0	2	271
1	5	250
2	7	230
3	8	213
4	12	232
5	14	224
6	16	217
7	18	211
8	20	207
9	22	202
10	24	199
11	27	203
12	30	203
13	32	199
14	34	196
15	36	192
16	38	189
17	41	187
18	43	186
19	45	183
20	47	179
21	49	176
22	51	173
23	53	170
24	56	170
25	59	168
26	61	166
27	63	162
28	65	159
29	67	157
30	69	154
31	72	154
32	74	152
33	77	149
34	79	147
35	81	144
36	83	142
37	85	139
38	90	141
39	92	138
40	94	135
41	95	131
42	97	129
43	99	126
44	103	126
45	107	126
46	109	123
47	111	120
48	113	118
49	115	115
50	119	114
51	122	113
52	125	111
53	127	108
54	129	105
55	131	103
56	134	101
57	136	98
58	138	96
59	140	93
60	142	90
61	144	88
62	148	87
63	150	84
64	153	82
65	155	79
66	157	77
67	159	75
68	164	73
69	166	71
70	169	69
71	171	66
72	173	64
73	175	61
74	179	59
75	182	57
76	184	55
77	186	52
78	188	50
79	190	47
80	194	45
81	196	43
82	198	40
83	201	38
84	203	35
85	206	33
86	210	31
87	214	29
88	216	26
89	219	24
90	221	21
91	223	19
92	225	16
93	227	14
94	229	12
95	231	9
96	233	7
97	235	4
98	237	2
99	239	0
